> print(out, digits = 3)
  [2,]                     0.01496                   0.01704                 NA           0.006845
  [3,]                     0.02861                   0.03370            0.01848           0.017891
  [4,]                     0.08589                   0.07511                 NA           0.062745
  [5,]                     0.00748                   0.00575            0.00305           0.003631
  [6,]                     0.02782                   0.02764            0.01545           0.015513
  [7,]                     0.11035                   0.08900            0.07111           0.076090
  [8,]                     0.10158                        NA                 NA           0.087533
  [9,]                     0.09991                   0.07899            0.07222           0.066473
 [10,]                     0.05788                   0.05456            0.03236           0.039552
 [11,]                     0.11775                   0.12006            0.09856           0.104506
 [12,]                     0.02666                   0.02516            0.01355           0.016424
 [13,]                     0.07603                        NA                 NA           0.036958
 [14,]                     0.00628                        NA            0.00254           0.000717
 [15,]                     0.21428                        NA            0.17471           0.171505
 [16,]                     0.00836                   0.00450            0.00233           0.003018
 [17,]                     0.05961                   0.06361            0.04775           0.049581
 [18,]                     0.18265                   0.18900                 NA           0.156998
 [19,]                     0.02366                   0.02552            0.00784           0.012939
 [20,]                     0.01559                        NA                 NA           0.004424
 [21,]                     0.04206                   0.03098            0.01689           0.019332
 [22,]                     0.05337                        NA            0.02435           0.031035
 [23,]                     0.10882                   0.10307                 NA           0.086102
 [24,]                     0.03071                   0.02946                 NA           0.024953
 [25,]                     0.15803                   0.16238                 NA           0.143420
 [26,]                     0.08363                   0.11197            0.06663           0.077620
 [27,]                     0.04034                        NA            0.01664           0.025543
 [28,]                     0.08151                   0.08814                 NA           0.069508
 [29,]                     0.09165                        NA                 NA           0.072671
 [30,]                     0.06204                   0.04963            0.03845           0.038629
 [31,]                     0.08302                        NA                 NA           0.051091
 [32,]                     0.09085                        NA            0.08883           0.074859
 [33,]                     0.00818                   0.00590            0.00324           0.003625
 [34,]                     0.04544                        NA            0.01159           0.017095
 [35,]                     0.10733                   0.12490            0.09969           0.105755
 [36,]                     0.05551                   0.06330            0.04454           0.044819
 [37,]                     0.00913                        NA            0.00488           0.006567
 [38,]                     0.02996                   0.02881            0.01912           0.022987
 [39,]                     0.17004                   0.13188                 NA           0.123004
 [40,]                     0.16779                   0.15017            0.11180           0.133236
 [41,]                     0.02809                   0.02849            0.02127           0.021933
 [42,]                     0.07560                   0.07513            0.05663           0.066212
 [43,]                     0.05390                   0.07038                 NA           0.051483
 [44,]                     0.02395                   0.01626            0.00464           0.007346
 [45,]                     0.05547                   0.05971            0.03665           0.049705
 [46,]                     0.06488                   0.06130            0.04611           0.050510
 [47,]                     0.08083                   0.08044            0.06516           0.068958
 [48,]                     0.04824                   0.06117            0.03523           0.038578
 [49,]                     0.00378                   0.00395            0.00261           0.001250
 [50,]                     0.00872                   0.00384            0.00131           0.000824
 [51,]                     0.03533                   0.02310                 NA           0.013729
 [52,]                     0.02748                   0.01914                 NA           0.014270
 [53,]                     0.03105                   0.01991            0.01083           0.012110
 [54,]                     0.03484                   0.03782            0.01884           0.027749
 [55,]                     0.00784                   0.01130                 NA           0.004549
 [56,]                     0.03720                   0.02059            0.01361           0.012372
 [57,]                     0.13177                   0.14094            0.10744           0.116801
 [58,]                     0.01101                   0.00664            0.00408           0.004368
 [59,]                     0.01941                   0.02431            0.00524           0.011992
 [60,]                     0.01917                   0.01465            0.00864           0.008927
 [61,]                     0.04705                   0.06331                 NA           0.036196
 [62,]                     0.04647                   0.04165            0.02783           0.034340
 [ reached getOption("max.print") -- omitted 38 rows ]
> 
> colMeans(out[complete.cases(out), ])
                 static Brier          dd (0.1, 0.01) Brier          dd (0.5, 0.01) Brier            dd (1, 0.01) Brier 
                   0.07968901                    0.07174011                    0.07011752                    0.07014687 
           dd (0.5, NA) Brier              dd (1, NA) Brier                     UKF Brier                     gam Brier 
                   0.07215004                    0.07275860                    0.07140030                    0.06996167 
        static Median abs res dd (0.1, 0.01) Median abs res dd (0.5, 0.01) Median abs res   dd (1, 0.01) Median abs res 
                   0.07538923                    0.06326103                    0.05391322                    0.05370199 
  dd (0.5, NA) Median abs res     dd (1, NA) Median abs res            UKF Median abs res            gam Median abs res 
                   0.06919810                    0.06796474                    0.04868165                    0.05454865 
